,      74,    1,   20120801, ARG, ARGH                , Alabama             ,cf2012    
17314,891.0,35.0,20120908.0, ARG, ARGH                , BYU                 ,cf2012    
17315,8315.0,36.0,20120908.0, ARG, ARGH                , Utah                ,cf2012    
17316,4224.0,37.0,20120908.0, ARG, ARGH                , Louisville          ,cf2012    
17317,6696.0,38.0,20120908.0, ARG, ARGH                , Rutgers             ,cf2012    
17318,5511.0,39.0,20120908.0, ARG, ARGH                , NC State            ,cf2012    
17319,1529.0,40.0,20120908.0, ARG, ARGH                , Cincinnati          ,cf2012    
17320,9031.0,41.0,20120908.0, ARG, ARGH                , Wisconsin           ,cf2012    
17321,2911.0,42.0,20120908.0, ARG, ARGH                , Georgia Tech        ,cf2012    
17322,3540.0,43.0,20120908.0, ARG, ARGH                , Iowa                ,cf2012    
17323,8551.0,44.0,20120908.0, ARG, ARGH                , Washington          ,cf2012    
17324,5704.0,45.0,20120908.0, ARG, ARGH                , Northwestern        ,cf2012    
17325,6393.0,46.0,20120908.0, ARG, ARGH                , Purdue              ,cf2012    
17326,294.0,47.0,20120908.0, ARG, ARGH                , Arizona             ,cf2012    
17327,8099.0,48.0,20120908.0, ARG, ARGH                , Tulsa               ,cf2012    
17328,5970.0,49.0,20120908.0, ARG, ARGH                , Oregon St           ,cf2012    
17329,5825.0,50.0,20120908.0, ARG, ARGH                , Ohio                ,cf2012    
17330,8367.0,51.0,20120908.0, ARG, ARGH                , Vanderbilt          ,cf2012    
17331,5492.0,52.0,20120908.0, ARG, ARGH                , North Carolina      ,cf2012    
17332,1872.0,53.0,20120908.0, ARG, ARGH                , Connecticut         ,cf2012    
17333,304.0,54.0,20120908.0, ARG, ARGH                , Arizona St          ,cf2012    
17334,8432.0,55.0,20120908.0, ARG, ARGH                , Virginia            ,cf2012    
17335,5316.0,56.0,20120908.0, ARG, ARGH                , Nevada              ,cf2012    
17336,5634.0,57.0,20120908.0, ARG, ARGH                , N Illinois          ,cf2012    
17337,4719.0,58.0,20120908.0, ARG, ARGH                , Miami FL            ,cf2012    
17338,4218.0,59.0,20120908.0, ARG, ARGH                , Louisiana Tech      ,cf2012    
17339,7002.0,60.0,20120908.0, ARG, ARGH                , San Diego St        ,cf2012    
17340,1098.0,61.0,20120908.0, ARG, ARGH                , California          ,cf2012    
17341,1380.0,62.0,20120908.0, ARG, ARGH                , UCF                 ,cf2012    
17342,4920.0,63.0,20120908.0, ARG, ARGH                , Mississippi         ,cf2012    
17343,7365.0,64.0,20120908.0, ARG, ARGH                , Southern Miss       ,cf2012    
17344,8325.0,65.0,20120908.0, ARG, ARGH                , Utah St             ,cf2012    
17345,4474.0,66.0,20120908.0, ARG, ARGH                , Maryland            ,cf2012    
